base_cell,time,outgoing_cell,outgoing_count,outgoing_time,outgoing_speed,NAME
8830e024d9fffff,8:40:00,8830e024dbfffff,17,73.29,20.21,경기 성남시 분당구 서현동
8830e024d9fffff,9:00:00,8830e024dbfffff,38,58.0,24.38,경기 성남시 분당구 서현동
8830e024d9fffff,9:20:00,8830e024dbfffff,30,87.53,24.16,경기 성남시 분당구 서현동
8830e024d9fffff,9:40:00,8830e024dbfffff,35,77.2,27.33,경기 성남시 분당구 서현동
8830e024d9fffff,10:00:00,8830e024dbfffff,40,71.45,37.42,경기 성남시 분당구 서현동
8830e024d9fffff,10:20:00,8830e024dbfffff,25,85.44,30.02,경기 성남시 분당구 서현동
8830e024d9fffff,10:40:00,8830e024dbfffff,31,80.61,23.04,경기 성남시 분당구 서현동
8830e024d9fffff,10:40:00,8830e15361fffff,14,55.43,29.98,경기 성남시 분당구 야탑동
8830e024d9fffff,11:00:00,8830e024dbfffff,36,65.25,27.69,경기 성남시 분당구 서현동
8830e024d9fffff,11:20:00,8830e024dbfffff,35,68.09,37.31,경기 성남시 분당구 서현동
8830e024d9fffff,11:40:00,8830e024dbfffff,23,58.78,22.83,경기 성남시 분당구 서현동
8830e024d9fffff,12:00:00,8830e024dbfffff,45,70.27,23.12,경기 성남시 분당구 서현동
8830e024d9fffff,12:20:00,8830e024dbfffff,30,91.97,26.18,경기 성남시 분당구 서현동
8830e024d9fffff,12:40:00,8830e024dbfffff,32,82.69,25.38,경기 성남시 분당구 서현동
8830e024d9fffff,13:00:00,8830e024dbfffff,30,65.4,27.72,경기 성남시 분당구 서현동
8830e024d9fffff,13:00:00,8830e15361fffff,12,63.75,31.37,경기 성남시 분당구 야탑동
8830e024d9fffff,13:20:00,8830e024dbfffff,28,77.07,28.02,경기 성남시 분당구 서현동
8830e024d9fffff,13:40:00,8830e024dbfffff,29,84.21,32.25,경기 성남시 분당구 서현동
8830e024d9fffff,13:40:00,8830e15361fffff,10,179.4,12.36,경기 성남시 분당구 야탑동
8830e024d9fffff,14:00:00,8830e024dbfffff,31,76.84,19.32,경기 성남시 분당구 서현동
8830e024d9fffff,14:20:00,8830e024dbfffff,37,71.27,24.3,경기 성남시 분당구 서현동
8830e024d9fffff,14:20:00,8830e15361fffff,12,175.58,21.4,경기 성남시 분당구 야탑동
8830e024d9fffff,14:40:00,8830e024dbfffff,41,57.78,24.31,경기 성남시 분당구 서현동
8830e024d9fffff,15:00:00,8830e024dbfffff,33,56.03,28.81,경기 성남시 분당구 서현동
8830e024d9fffff,15:00:00,8830e15361fffff,15,55.13,30.07,경기 성남시 분당구 야탑동
8830e024d9fffff,15:20:00,8830e024dbfffff,48,61.5,22.09,경기 성남시 분당구 서현동
8830e024d9fffff,15:40:00,8830e024dbfffff,25,57.8,25.21,경기 성남시 분당구 서현동
8830e024d9fffff,15:40:00,8830e15361fffff,13,68.23,23.16,경기 성남시 분당구 야탑동
8830e024d9fffff,16:00:00,8830e024dbfffff,45,55.49,22.22,경기 성남시 분당구 서현동
8830e024d9fffff,16:00:00,8830e15361fffff,14,154.07,19.44,경기 성남시 분당구 야탑동
8830e024d9fffff,16:20:00,8830e024dbfffff,24,57.67,32.62,경기 성남시 분당구 서현동
8830e024d9fffff,16:20:00,8830e15361fffff,12,54.08,30.24,경기 성남시 분당구 야탑동
8830e024d9fffff,16:40:00,8830e024dbfffff,30,67.13,21.2,경기 성남시 분당구 서현동
8830e024d9fffff,17:00:00,8830e024dbfffff,28,84.82,26.59,경기 성남시 분당구 서현동
8830e024d9fffff,17:00:00,8830e15361fffff,16,51.88,21.58,경기 성남시 분당구 야탑동
8830e024d9fffff,17:20:00,8830e024dbfffff,28,64.04,24.31,경기 성남시 분당구 서현동
8830e024d9fffff,17:20:00,8830e15361fffff,15,48.87,17.35,경기 성남시 분당구 야탑동
8830e024d9fffff,17:40:00,8830e024dbfffff,32,65.97,26.67,경기 성남시 분당구 서현동
8830e024d9fffff,17:40:00,8830e15361fffff,15,52.13,25.89,경기 성남시 분당구 야탑동
8830e024d9fffff,18:00:00,8830e024dbfffff,23,67.74,34.49,경기 성남시 분당구 서현동
8830e024d9fffff,18:00:00,8830e15361fffff,12,42.5,51.34,경기 성남시 분당구 야탑동
8830e024d9fffff,18:20:00,8830e024dbfffff,30,58.53,16.17,경기 성남시 분당구 서현동
8830e024d9fffff,18:20:00,8830e15361fffff,11,115.18,18.99,경기 성남시 분당구 야탑동
8830e024d9fffff,18:40:00,8830e024dbfffff,19,52.53,33.34,경기 성남시 분당구 서현동
8830e024d9fffff,19:00:00,8830e024dbfffff,38,61.34,26.89,경기 성남시 분당구 서현동
8830e024d9fffff,19:20:00,8830e024dbfffff,28,75.64,39.15,경기 성남시 분당구 서현동
8830e024d9fffff,19:40:00,8830e024dbfffff,23,70.48,19.27,경기 성남시 분당구 서현동
8830e024d9fffff,20:00:00,8830e024dbfffff,37,64.54,32.56,경기 성남시 분당구 서현동
8830e024d9fffff,20:20:00,8830e024dbfffff,17,74.88,20.25,경기 성남시 분당구 서현동
8830e024d9fffff,20:40:00,8830e024dbfffff,21,60.29,28.0,경기 성남시 분당구 서현동
8830e024d9fffff,21:00:00,8830e024dbfffff,23,82.22,37.05,경기 성남시 분당구 서현동
8830e024d9fffff,21:20:00,8830e024dbfffff,20,81.0,22.77,경기 성남시 분당구 서현동
8830e024d9fffff,21:40:00,8830e024dbfffff,17,66.76,25.84,경기 성남시 분당구 서현동
8830e024d9fffff,22:00:00,8830e024dbfffff,23,55.13,30.84,경기 성남시 분당구 서현동
8830e024d9fffff,22:20:00,8830e024dbfffff,21,60.0,30.68,경기 성남시 분당구 서현동
8830e024d9fffff,22:40:00,8830e024dbfffff,15,53.73,22.81,경기 성남시 분당구 서현동
8830e024d9fffff,23:00:00,8830e024dbfffff,29,48.62,26.32,경기 성남시 분당구 서현동
8830e024d9fffff,23:20:00,8830e024dbfffff,14,37.36,18.45,경기 성남시 분당구 서현동
8830e024dbfffff,0:00:00,8830e024dbfffff,192,67.79,21.47,경기 성남시 분당구 서현동
